FillerType,TrialType,Word,Target,Visual1,Visual2,Onset,Offset,Contrast,Phase,final_stop,Left/Right,Order,Filename,CorrectAnswer
,FL,peas,peas,peas,peace,stop,fricative,offset,training,,0,126,peas,peas
,CR,lad,lad,lad,lab,liquid,stop,offset,training,d,0,127,lad,lad
V,FL,thing,thing,sing,thing,fricative,nasal,onset,training,,1,128,thing,thing
,FL,room,room,room,roam,liquid,nasal,vowel,training,,0,129,room,room
R,FL,cane,cane,cane,came,stop,nasal,offset,training,,0,130,cane,cane
,CR,feet,feet,feet,feed,fricative,stop,offset,test1,t,0,1,feet2,feet
R,FL,gave,gave,cave,gave,stop,fricative,onset,test1,,1,2,gave,gave
,CR,bud,bud,but,bud,stop,stop,offset,test1,d,1,3,bud2,bud
R,FL,dune,dune,doom,dune,stop,nasal,offset,test1,,1,4,dune,dune
R,FL,moss,moss,moss,mouse,stop,fricative,vowel,test1,,0,5,moss,moss
R,FL,dune,dune,dune,doom,stop,nasal,offset,test1,,0,6,dune2,dune
,CR,duck,duck,dug,duck,stop,stop,offset,test1,k,1,7,duck2,duck
R,FL,pen,pen,pen,pan,stop,nasal,vowel,test1,,0,8,pen2,pen
R,FL,doom,doom,dune,doom,stop,nasal,offset,test1,,1,9,doom2,doom
,CR,tab,tab,tap,tab,stop,stop,offset,test1,b,1,10,tab2,tab
R,FL,cave,cave,cave,gave,stop,fricative,onset,test1,,0,11,cave,cave
R,FL,wren,wren,ran,wren,liquid,nasal,vowel,test1,,1,12,wren,wren
,CR,dug,dug,dug,duck,stop,stop,offset,test1,g,0,13,dug2,dug
R,FL,mess,mess,mess,mice,nasal,fricative,vowel,test1,,0,14,mess2,mess
R,FL,cave,cave,gave,cave,stop,fricative,onset,test1,,1,15,cave2,cave
R,FL,run,run,run,rum,liquid,nasal,offset,test1,,0,16,run2,run
,CR,sack,sack,sack,sag,fricative,stop,offset,test1,k,0,17,sack2,sack
R,FL,batch,batch,patch,batch,stop,affricate,onset,test1,,1,18,batch,batch
R,FL,run,run,rum,run,liquid,nasal,offset,test1,,1,19,run,run
,CR,feed,feed,feed,feet,fricative,stop,offset,test1,d,0,20,feed2,feed
R,FL,goal,goal,coal,goal,stop,liquid,onset,test1,,1,21,goal2,goal
,CR,robe,robe,rope,robe,liquid,stop,offset,test1,b,1,22,robe2,robe
,CR,sag,sag,sack,sag,fricative,stop,offset,test1,g,1,23,sag2,sag
R,FL,ran,ran,ran,wren,liquid,nasal,vowel,test1,,0,24,ran,ran
R,FL,hone,hone,home,hone,fricative,nasal,offset,test1,,1,25,hone2,hone
,CR,but,but,bud,but,stop,stop,offset,test1,t,1,26,but2,but
R,FL,ran,ran,ran,wren,liquid,nasal,vowel,test1,,0,27,ran2,ran
R,FL,patch,patch,patch,batch,stop,affricate,onset,test1,,0,28,patch2,patch
,CR,tap,tap,tap,tab,stop,stop,offset,test1,p,0,29,tap2,tap
R,FL,gave,gave,cave,gave,stop,fricative,onset,test1,,1,30,gave2,gave
R,FL,pan,pan,pan,pen,stop,nasal,vowel,test1,,0,31,pan,pan
,CR,rope,rope,rope,robe,liquid,stop,offset,test1,p,0,32,rope2,rope
,CR,but,but,but,bud,stop,stop,offset,test2,t,0,1,but,but
R,FL,rum,rum,run,rum,liquid,nasal,offset,test2,,1,2,rum2,rum
R,FL,home,home,home,hone,fricative,nasal,offset,test2,,0,3,home,home
,CR,sack,sack,sag,sack,fricative,stop,offset,test2,k,1,4,sack,sack
R,FL,mess,mess,mice,mess,nasal,fricative,vowel,test2,,1,5,mess,mess
,CR,tab,tab,tab,tap,stop,stop,offset,test2,b,0,6,tab,tab
R,FL,moss,moss,moss,mouse,stop,fricative,vowel,test2,,0,7,moss2,moss
R,FL,coal,coal,goal,coal,stop,liquid,onset,test2,,1,8,coal2,coal
