FillerType,TrialType,Word,Target,Visual1,Visual2,Onset,Offset,Contrast,Phase,final_stop,Left/Right,Order,Filename,Left/Right
,FL,tune,tune,tone,tune,stop,nasal,vowel,training,,1,21,tune,right
,CR,god,god,god,got,stop,stop,offset,training,d,0,20,god,left
,FL,fields,fields,fields,feels,fricative,fricative,offset,training,,0,19,fields,left
,CR,slide,slide,slide,slight,fricative,stop,offset,training,d,0,18,slide,left
R,FL,die,die,tie,die,stop,vowel,onset,training,,1,17,die,right
,FL,robes,robes,ropes,robes,liquid,fricative,offset,training,,1,16,robes,right
R,FL,team,team,team,teen,fricative,nasal,offset,training,,0,15,team,left
,CR,tuck,tuck,tug,tuck,stop,stop,offset,training,k,1,14,tuck,right
,FL,live,live,live,lib,liquid,fricative,offset,training,,0,13,live,left
,CR,mop,mop,mop,mob,nasal,stop,offset,training,p,0,12,mop,left
R,FL,pool,pool,pull,pool,stop,liquid,vowel,training,,1,11,pool,right
R,FL,teen,teen,team,teen,fricative,nasal,offset,training,,1,10,teen,right
,CR,hut,hut,hug,hut,fricative,stop,offset,training,t,1,9,hut,right
V,FL,ram,ram,ram,ran,liquid,nasal,offset,training,,0,8,ram,left
,CR,sit,sit,sick,sit,fricative,stop,offset,training,t,1,7,sit,right
,FL,cards,cards,cars,cards,stop,fricative,offset,training,,1,6,cards,right
,FL,peas,peas,peas,peace,stop,fricative,offset,training,,0,5,peas,left
,CR,lad,lad,lad,lab,liquid,stop,offset,training,d,0,4,lad,left
V,FL,thing,thing,sing,thing,fricative,nasal,onset,training,,1,3,thing,right
,FL,room,room,room,roam,liquid,nasal,vowel,training,,0,2,room,left
R,FL,cane,cane,cane,came,stop,nasal,offset,training,,0,1,cane,left
,CR,feet,feet,feet,feed,fricative,stop,offset,test1,t,0,32,feet2,left
R,FL,gave,gave,cave,gave,stop,fricative,onset,test1,,1,31,gave,right
,CR,bud,bud,but,bud,stop,stop,offset,test1,d,1,30,bud2,right
R,FL,dune,dune,doom,dune,stop,nasal,offset,test1,,1,29,dune,right
R,FL,moss,moss,moss,mouse,stop,fricative,vowel,test1,,0,28,moss,left
R,FL,dune,dune,dune,doom,stop,nasal,offset,test1,,0,27,dune2,left
,CR,duck,duck,dug,duck,stop,stop,offset,test1,k,1,26,duck2,right
R,FL,pen,pen,pen,pan,stop,nasal,vowel,test1,,0,25,pen2,left
R,FL,doom,doom,dune,doom,stop,nasal,offset,test1,,1,24,doom2,right
,CR,tab,tab,tap,tab,stop,stop,offset,test1,b,1,23,tab2,right
R,FL,cave,cave,cave,gave,stop,fricative,onset,test1,,0,22,cave,left
R,FL,wren,wren,ran,wren,liquid,nasal,vowel,test1,,1,21,wren,right
,CR,dug,dug,dug,duck,stop,stop,offset,test1,g,0,20,dug2,left
R,FL,mess,mess,mess,mice,nasal,fricative,vowel,test1,,0,19,mess2,left
R,FL,cave,cave,gave,cave,stop,fricative,onset,test1,,1,18,cave2,right
R,FL,run,run,run,rum,liquid,nasal,offset,test1,,0,17,run2,left
,CR,sack,sack,sack,sag,fricative,stop,offset,test1,k,0,16,sack2,left
R,FL,batch,batch,patch,batch,stop,affricate,onset,test1,,1,15,batch,right
R,FL,run,run,rum,run,liquid,nasal,offset,test1,,1,14,run,right
,CR,feed,feed,feed,feet,fricative,stop,offset,test1,d,0,13,feed2,left
R,FL,goal,goal,coal,goal,stop,liquid,onset,test1,,1,12,goal2,right
,CR,robe,robe,rope,robe,liquid,stop,offset,test1,b,1,11,robe2,right
,CR,sag,sag,sack,sag,fricative,stop,offset,test1,g,1,10,sag2,right
R,FL,ran,ran,ran,wren,liquid,nasal,vowel,test1,,0,9,ran,left
R,FL,hone,hone,home,hone,fricative,nasal,offset,test1,,1,8,hone2,right
,CR,but,but,bud,but,stop,stop,offset,test1,t,1,7,but2,right
R,FL,ran,ran,ran,wren,liquid,nasal,vowel,test1,,0,6,ran2,left
R,FL,patch,patch,patch,batch,stop,affricate,onset,test1,,0,5,patch2,left
,CR,tap,tap,tap,tab,stop,stop,offset,test1,p,0,4,tap2,left
R,FL,gave,gave,cave,gave,stop,fricative,onset,test1,,1,3,gave2,right
R,FL,pan,pan,pan,pen,stop,nasal,vowel,test1,,0,2,pan,left
,CR,rope,rope,rope,robe,liquid,stop,offset,test1,p,0,1,rope2,left
,CR,but,but,but,bud,stop,stop,offset,test2,t,0,32,but,left
R,FL,rum,rum,run,rum,liquid,nasal,offset,test2,,1,31,rum2,right
R,FL,home,home,home,hone,fricative,nasal,offset,test2,,0,30,home,left
,CR,sack,sack,sag,sack,fricative,stop,offset,test2,k,1,29,sack,right
R,FL,mess,mess,mice,mess,nasal,fricative,vowel,test2,,1,28,mess,right
,CR,tab,tab,tab,tap,stop,stop,offset,test2,b,0,27,tab,left
R,FL,moss,moss,moss,mouse,stop,fricative,vowel,test2,,0,26,moss2,left
R,FL,coal,coal,goal,coal,stop,liquid,onset,test2,,1,25,coal2,right
,CR,duck,duck,dug,duck,stop,stop,offset,test2,k,1,24,duck,right
R,FL,goal,goal,goal,coal,stop,liquid,onset,test2,,0,23,goal,left
R,FL,wren,wren,ran,wren,liquid,nasal,vowel,test2,,1,22,wren2,right
R,FL,coal,coal,coal,goal,stop,liquid,onset,test2,,0,21,coal,left
,CR,dug,dug,dug,duck,stop,stop,offset,test2,g,0,20,dug,left
R,FL,batch,batch,patch,batch,stop,affricate,onset,test2,,1,19,batch2,right
R,FL,hone,hone,hone,home,fricative,nasal,offset,test2,,0,18,hone,left
,CR,bud,bud,but,bud,stop,stop,offset,test2,d,1,17,bud,right
R,FL,patch,patch,batch,patch,stop,affricate,onset,test2,,1,16,patch,right
R,FL,pen,pen,pen,pan,stop,nasal,vowel,test2,,0,15,pen,left
R,FL,mice,mice,mess,mice,nasal,fricative,vowel,test2,,1,14,mice,right
,CR,rope,rope,robe,rope,liquid,stop,offset,test2,p,1,13,rope,right
R,FL,mouse,mouse,mouse,moss,nasal,fricative,onset,test2,,0,12,mouse,left
,CR,feed,feed,feed,feet,fricative,stop,offset,test2,d,0,11,feed,left
R,FL,doom,doom,doom,dune,stop,nasal,offset,test2,,0,10,doom,left
R,FL,pan,pan,pen,pan,stop,nasal,vowel,test2,,1,9,pan2,right
,CR,sag,sag,sag,sack,fricative,stop,offset,test2,g,0,8,sag,left
R,FL,home,home,home,hone,fricative,nasal,offset,test2,,0,7,home2,left
,CR,robe,robe,rope,robe,liquid,stop,offset,test2,b,1,6,robe,right
,CR,tap,tap,tap,tab,stop,stop,offset,test2,p,0,5,tap,left
R,FL,mice,mice,mess,mice,nasal,fricative,vowel,test2,,1,4,mice2,right
R,FL,rum,rum,rum,run,liquid,nasal,offset,test2,,0,3,rum,left
R,FL,mouse,mouse,moss,mouse,nasal,fricative,onset,test2,,1,2,mouse2,right
,CR,feet,feet,feed,feet,fricative,stop,offset,test2,t,1,1,feet,right
