FillerType|TrialType|Word|Target|Visual1|Visual2|Onset|Offset|Contrast|Phase|final_stop|Left/Right|Order|Tokenname|CorrectAnswer|TrainSpeaker|Filename
|FL|draw|draw|draw|jaw|stop|vowel|onset|training||0|96|DRAW|left|E14|E14_FL_70dB_draw
R|FL|ten|ten|tan|ten|stop|nasal|vowel|training||1|97|TEN|right|E14|E14_FL_70dB_ten
|CR|lip|lip|lip|lib|liquid|stop|offset|training|p|0|98|LIP|left|E14|E14_CR_70dB_lip
|FL|verve|verve|verb|verve|fricative|fricative|offset|training||1|99|VERVE|right|E14|E14_FL_70dB_verve
|CR|mob|mob|mop|mob|nasal|stop|offset|training|b|1|100|MOB|right|E14|E14_CR_70dB_mob
R|FL|fall|fall|fool|fall|fricative|liquid|vowel|training||1|101|FALL|right|E14|E14_FL_70dB_fall
|CR|rode|rode|rode|wrote|liquid|stop|offset|training|d|0|102|RODE|left|E14|E14_CR_70dB_rode
|CR|sad|sad|sad|sat|fricative|stop|offset|training|d|0|103|SAD|left|E14|E14_CR_70dB_sad
R|FL|time|time|dime|time|stop|nasal|onset|training||1|104|TIME|right|E14|E14_FL_70dB_time
V|FL|soon|soon|soon|sewn|fricative|nasal|vowel|training||0|105|SOON|left|E14|E14_FL_70dB_soon
|CR|gild|gild|guilt|gild|stop|stop|offset|training|d|1|106|GILD|right|E14|E14_CR_70dB_gild
R|FL|gloom|gloom|gloom|groom|stop|nasal|onset|training||0|107|GLOOM|left|E14|E14_FL_70dB_gloom
|CR|cop|cop|cob|cop|stop|stop|offset|training|p|1|108|COP|right|E14|E14_CR_70dB_cop
V|FL|gun|gun|gum|gun|stop|nasal|offset|training||1|109|GUN|right|E14|E14_FL_70dB_gun
|FL|tune|tune|tone|tune|stop|nasal|vowel|training||1|110|TUNE|right|E14|E14_FL_70dB_tune
|CR|god|god|god|got|stop|stop|offset|training|d|0|111|GOD|left|E14|E14_CR_70dB_god
|FL|fields|fields|fields|feels|fricative|fricative|offset|training||0|112|FIELDS|left|E14|E14_FL_70dB_fields
|CR|slide|slide|slide|slight|fricative|stop|offset|training|d|0|113|SLIDE|left|E14|E14_CR_70dB_slide
R|FL|die|die|tie|die|stop|vowel|onset|training||1|114|DIE|right|E14|E14_FL_70dB_die
|FL|robes|robes|ropes|robes|liquid|fricative|offset|training||1|115|ROBES|right|E14|E14_FL_70dB_robes
R|FL|team|team|team|teen|fricative|nasal|offset|training||0|116|TEAM|left|E14|E14_FL_70dB_team
|CR|tuck|tuck|tug|tuck|stop|stop|offset|training|k|1|117|TUCK|right|E14|E14_CR_70dB_tuck
|FL|live|live|live|lib|liquid|fricative|offset|training||0|118|LIVE|left|E14|E14_FL_70dB_live
|CR|mop|mop|mop|mob|nasal|stop|offset|training|p|0|119|MOP|left|E14|E14_CR_70dB_mop
R|FL|pool|pool|pull|pool|stop|liquid|vowel|training||1|120|POOL|right|E14|E14_FL_70dB_pool
R|FL|teen|teen|team|teen|fricative|nasal|offset|training||1|121|TEEN|right|E14|E14_FL_70dB_teen
|CR|hut|hut|hug|hut|fricative|stop|offset|training|t|1|122|HUT|right|E14|E14_CR_70dB_hut
V|FL|ram|ram|ram|ran|liquid|nasal|offset|training||0|123|RAM|left|E14|E14_FL_70dB_ram
|CR|sit|sit|sick|sit|fricative|stop|offset|training|t|1|124|SIT|right|E14|E14_CR_70dB_sit
|FL|cards|cards|cars|cards|stop|fricative|offset|training||1|125|CARDS|right|E14|E14_FL_70dB_cards
|FL|peas|peas|peas|peace|stop|fricative|offset|training||0|126|PEAS|left|E14|E14_FL_70dB_peas
|CR|lad|lad|lad|lab|liquid|stop|offset|training|d|0|127|LAD|left|E14|E14_CR_70dB_lad
V|FL|thing|thing|sing|thing|fricative|nasal|onset|training||1|128|THING|right|E14|E14_FL_70dB_thing
|FL|room|room|room|roam|liquid|nasal|vowel|training||0|129|ROOM|left|E14|E14_FL_70dB_room
R|FL|cane|cane|cane|came|stop|nasal|offset|training||0|130|CANE|left|E14|E14_FL_70dB_cane
